Name	Accessions	Description	References
Tn1	L10085.1|AY925200.1|GQ160960.2	Contains bla gene encoding amp resistance. Now classed as a Tn3-like transposon.	Hedges, RW and Jacob, AE (1974) Transposition of ampicillin resistance from RP4 to other replicons. Mol. Gen. Genet. 132 31-40. doi:10.1007/BF00268228
Tn2	X64367	Transferable TEM beta-lactamase gene present on the small plasmid RSF 1030 (R-Amp)	Heffron, F et al. (1975) Origin of the TEM-beta-lactamase gene found on plasmids. J. Bacteriol. 122 250-6. PMID: 1091625 Partridge SR (2015) What's in a Name? ISSwi1 Corresponds to Transposons Related to Tn2 and Tn3. MBio. 6(5):e01344-15. DOI: 10.1128/mBio.01344-15
Tn3	V00613	Tn3 is a 4957bp transposon encoding three proteins:  β-lactamase, an enzyme that confers resistance to β-lactam antibiotics, a transposase (encoded by gene tnpA) and a resolvase (encoded by gene tnpR)	P J Kretschmer and S N Cohen 1977 Selected translocation of plasmid genes: frequency and regional specificity of translocation of the Tn3 element. J. Bacteriol 130(2): 888–899. PMCID: PMC235295 R Gill, F Heffron, G Dougan, S Falkow 1978 Analysis of sequences transposed by complementation of two classes of transposition-deficient mutants of Tn3. J Bacteriol. 136(2): 742–756. PMCID: PMC218601    T Takeya, H Nomiyama, J Miyoshi, K Shimada, Y Takagi 1979 DNA sequences of the integration sites and inverted repeated structure of transposon Tn3. Nucleic Acids Res. 6(5): 1831–1841. PMCID: PMC327814     J Chou, M J Casadaban, P G Lemaux, S N Cohen 1979 Identification and characterization of a self-regulated repressor of translocation of the Tn3 element. Proc Natl Acad Sci U S A. 76(8): 4020–4024. PMCID: PMC383968
Tn4	HM749966|HQ201416	Mercury, sulphonamide and spectinomycin resistance encoding transposon	D R Hyde and C P Tu 1982 Insertion sites and the terminal nucleotide sequences of the Tn4 transposon. Nucleic Acids Research 10(13): 3981–3993 PMCID: PMC320772
Tn5	U00004	Escherichia coli transposon (approx 5.8 kb) carrying three resistance genes	Berg, DE et al. (1984) Bacterial transposon Tn5: evolutionary inferences. Mol. Biol. Evol. 1 411-22  PMID: 6100989 Reznikoff, WS (2003) Tn5 as a model for understanding DNA transposition. Mol. Microbiol. 47 1199-206 PMID: 12603728 Reznikoff, WS (1993) The Tn5 transposon. Annu. Rev. Microbiol. 47 945-63 DOI: 10.1146/annurev.mi.47.100193.004501 Genilloud, O et al. (1984) The transposon Tn5 carries a bleomycin-resistance determinant. Gene 32 225-33 PMID: 6085062 Auerswald, EA et al. (1981) Structural analysis of Tn5. Cold Spring Harb. Symp. Quant. Biol. 45 Pt 1 107-13 PMID: 6271452
Tn6	NA	Tn6 is a 4.95 kb transposon, carrying kanamycin resistance gene, which is identical to Tn2680.	Berg DE, et al. (1975) Transposition of R factor genes to bacteriophage lambda. Proceedings of the National Academy of Sciences of the United States of America, 72(9), 3628–3632. PMID: 1059152
Tn7	KX159450	Tn7 (also called TnC) is a 14 kb transposon, found on the plasmid R483. It contains trimethoprim and streptomycin resistance genes.	Barth PT, et al. (1976). Transposition of a deoxyribonucleic acid sequence encoding trimethoprim and streptomycin resistances from R483 to other replicons. Journal of Bacteriology, 125(3), 800–810. PMID: 767328
Tn9	V00622	Tn9 is a 2.6 kb composite transposon, flanked by two direct repeats of insertion sequence IS1. It contains a gene conferring chloramphenicol resistance.	Alton, N. K. and D. Vapnek (1979). Nucleotide sequence analysis of the chloramphenicol resistance transposon Tn9. Nature 282(5741): 864-869. doi:10.1038/282864a0
Tn10	AF162223	Tn10 is a 9300 bp transposon, flanked by inverted repeats of insertion sequence IS10. This transposon confers tetracycline resistance via tetA.	Foster TJ, et al. (1981) Genetic organization of transposon Tn10. Cell 23(1): 201-213. doi: 10.1016/0092-8674(81)90285-3 Chalmers R, et al. (2000). Complete Nucleotide Sequence of Tn10. Journal of Bacteriology, 182(10), 2970–2972. doi: 10.1128/JB.182.10.2970-2972.2000
Tn21	AF071413	Tn21 is a 19.7 kb transposon, which contains mercury resistance (mer) operon, integron In2, IS1326 and IS1353. In2 carries aadA1 (conferring resistance to streptomycin and spectinomycin) on a gene cassette and sul1 gene on its 3′-conserved region.	Liebert CA, et al. (1999) Transposon Tn21, flagship of the floating genome. Microbiol. Mol. Biol. Rev.63:507–522 PMID: 10477306
Tn45	U85507	Tn45 is a 2.4 kb transposon, found on plasmid pXZ10145 from Corynebacterium glutamicum. It contains gene conferring chloramphenicol resistance.	Ren Z, et al. (2004) Complete nucleotide sequence analysis of two corynebacterial plasmids pXZ10142 and pXZ10145 containing a transposon-like sequence Tn45. Journal of Fudan University, Natural Science 43, 200–205. Link: http://en.cnki.com.cn/Article_en/CJFDTotal-FDXB200402012.htm Shen T, et al. (1993). "Determination of nucleotide sequence of Corynebacterium plasmid pXZ10145." Chin J Biotechnol 9(3): 171-178. PMID: 8049348
