# Export of ACLAME MGEs. Version 0.4, category All. Copyright (C) 2002-2018 The ACLAME team.
# ACLAME ID	Name	Segment	Size (bp)	Nb genes	Nb CDS	Taxo ID	MGE Type	Genome type	Genome strands	Genome organisation	Complete	Host(s)	Hosts taxo ID(s)	Cross-references
mge:66	933W		61670	84	80	10730	virus	DNA	ds	linear	yes	Escherichia coli O157:H7 EDL933	155864	genbank:acc:NC_000924;genbank:gi:9632466
mge:320	Mu		36717	55	55	10677	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:acc:NC_000929;genbank:gi:9633494
mge:95	Pf3		5833	9	9	10872	virus	DNA	ss	circular	yes	Pseudomonas aeruginosa	287	genbank:acc:NC_001418;genbank:gi:9626316
mge:77	PhiCPG1		4529	9	9	90963	virus	DNA	ss	circular	yes	Chlamydophila psittaci	83554	genbank:acc:NC_001998;genbank:gi:9632287
mge:46	P22		41724	74	72	10754	virus	DNA	ds	linear	yes	Salmonella typhimurium	602	genbank:GenomeProject:14478;genbank:acc:NC_002371;genbank:gi:9635489;genbank:gi:51236723
mge:323	GA-1		21129	52	35	12345	virus	DNA	ds	linear	yes	Bacillus sp.	1409	genbank:GenomeProject:15202;genbank:acc:NC_002649;genbank:gi:12248100
mge:74	TP901-1		37667	56	56	35345	virus	DNA	ds	linear	yes	Lactococcus lactis	1358	genbank:acc:NC_002747;genbank:gi:13786531
mge:9	Mx8		49534	85	86	49964	virus	DNA	ds	linear	yes	Myxococcus xanthus	34	genbank:acc:NC_003085;genbank:gi:15320570
mge:60	SIFV		40900	73	73	176106	virus	DNA	ds	linear	yes	Sulfolobus islandicus	43080	genbank:GenomeProject:14132;genbank:acc:NC_003214;genbank:gi:16753087;genbank:gi:158267608
mge:114	PBC5		57416	83	83	179237	virus	DNA	ds	linear	yes	Sinorhizobium meliloti	382	genbank:acc:NC_003324;genbank:gi:18071213
mge:11	P27		42575	60	58	103807	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:GenomeProject:14599;genbank:acc:NC_003356;genbank:gi:18249864
mge:326	Spiroplasma phage 4		4421	9	9	10855	virus	DNA	ss	circular	yes	Spiroplasma melliferum	2134	genbank:acc:NC_003438;genbank:gi:19387568
mge:32	phig1e		42259	62	50	52979	virus	DNA	ds	linear	yes	Lactobacillus	1578	genbank:GenomeProject:14315;genbank:acc:NC_004305;genbank:gi:23455771
mge:75	Bcep781		48247	66	66	209052	virus	DNA	ds	linear	yes	Burkholderia cepacia	292	genbank:GenomeProject:14405;genbank:acc:NC_004333;genbank:gi:23752313;genbank:gi:47835019
mge:118	IN93		19603	35	35	164037	virus	DNA	ds	linear	yes	Thermus aquaticus	271	genbank:GenomeProject:14235;genbank:acc:NC_004462;genbank:gi:27375003
mge:157	phi 4795		57930	85	85	196242	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:GenomeProject:14287;genbank:acc:NC_004813;genbank:gi:31044225
mge:127	phBC6A51		61395	75	75	225725	virus	DNA	ds	linear	yes	Bacillus cereus	1396	genbank:acc:NC_004820;genbank:gi:31415740
mge:128	phBC6A52		38472	49	49	225726	virus	DNA	ds	linear	yes	Bacillus cereus	1396	genbank:acc:NC_004821;genbank:gi:31415816
mge:122	PY54		46339	66	67	172667	virus	DNA	ds	linear	yes	Yersinia enterocolitica	630	genbank:GenomeProject:15227;genbank:acc:NC_005069;genbank:gi:33770508
mge:1457	NC1		5386	11	11	338115	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16605;genbank:acc:NC_007832;genbank:gi:89888769
mge:1458	NC5		5386	11	11	338116	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16606;genbank:acc:NC_007833;genbank:gi:89888781
mge:1459	S-PM2		196280	238	236	238854	virus	DNA	ds	linear	yes	Synechococcus sp.;Synechococcus sp. WH 7803	1131;32051	genbank:GenomeProject:15223;genbank:acc:NC_006820;genbank:gi:58532811
mge:1460	Sulfolobus islandicus rod-shaped virus 2		35450	54	54	157899	virus	DNA	ds	linear	yes	Sulfolobus islandicus	43080	genbank:GenomeProject:15191;genbank:acc:NC_004086;genbank:gi:22122273
mge:1461	EJ-1		42935	73	73	12402	virus	DNA	ds	linear	yes	Streptococcus pneumoniae	1313	genbank:GenomeProject:14604;genbank:acc:NC_005294;genbank:gi:39653674
mge:1462	NC3		6097	10	10	338109	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16599;genbank:acc:NC_007826;genbank:gi:89888697
mge:1463	phiSG1		52162	47	47	373126	virus	DNA	ds	linear	yes	Sodalis glossinidius str. 'morsitans'	343509	genbank:GenomeProject:16583;genbank:acc:NC_007902;genbank:gi:89885981
mge:1464	L17		14935	31	31	318593	virus	DNA	ds	linear	yes	Salmonella typhimurium LT2	99287	genbank:GenomeProject:15886;genbank:acc:NC_007449;genbank:gi:77121686
mge:1465	phiKO2		51601	63	64	255431	virus	DNA	ds	linear	yes	Klebsiella oxytoca	571	genbank:acc:NC_005857;genbank:gi:46402086
mge:1466	C-St		185683	198	198	12336	virus	DNA	ds	linear	yes	Clostridium botulinum C	36828	genbank:GenomeProject:16151;genbank:acc:NC_007581;genbank:gi:80159686
mge:1467	NC51		5386	11	11	338122	virus	DNA	ss	circular	yes	Salmonella enterica subsp. enterica serovar Typhimurium	90371	genbank:GenomeProject:16612;genbank:acc:NC_007839;genbank:gi:89888853
mge:1468	NC6		5529	11	11	338138	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16627;genbank:acc:NC_007855;genbank:gi:89889033
mge:1469	WA13		6068	10	10	338104	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16595;genbank:acc:NC_007821;genbank:gi:89888652
mge:1470	Bcep22		63879	82	81	242527	virus	DNA	ds	linear	yes	Burkholderia cepacia	292	genbank:GenomeProject:14335;genbank:acc:NC_005262;genbank:gi:38640309;genbank:gi:158997720
mge:1471	86		60238	80	81	379329	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:GenomeProject:17979;genbank:acc:NC_008464;genbank:gi:116221992
mge:1473	Lc-Nu		36466	51	51	146269	virus	DNA	ds	linear	yes	Lactobacillus rhamnosus	47715	genbank:GenomeProject:16114;genbank:acc:NC_007501;genbank:gi:77999988
mge:1474	Aeh1		233234	375	352	227470	virus	DNA	ds	linear	yes	Aeromonas hydrophila	644	genbank:acc:NC_005260;genbank:gi:38639923
mge:1475	55		41902	77	77	320845	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15276;genbank:acc:NC_007060;genbank:gi:66396113
mge:1476	77		41708	69	69	259901	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:acc:NC_005356;genbank:gi:41189515
mge:1477	Bcep43		48024	65	65	260373	virus	DNA	ds	linear	yes	Burkholderia cepacia	292	genbank:GenomeProject:14411;genbank:acc:NC_005342;genbank:gi:47842848
mge:1478	Acidianus filamentous virus 1		20869	40	40	235266	virus	DNA	ds	linear	yes	Acidianus	12914	genbank:GenomeProject:14363;genbank:acc:NC_005830;genbank:gi:45655866
mge:1479	712		30510	55	55	213769	virus	DNA	ds	linear	yes	Lactococcus lactis	1358	genbank:GenomeProject:17757;genbank:acc:NC_008370;genbank:gi:115315572
mge:1480	B3		38439	59	59	151599	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:14542;genbank:acc:NC_006548;genbank:gi:56692568
mge:1481	PG1		68999	100	100	213236	virus	DNA	ds	linear	yes	Mycobacterium smegmatis	1772	genbank:acc:NC_005259;genbank:gi:38638403
mge:1482	Orion		68427	100	100	373409	virus	DNA	ds	linear	yes	Mycobacterium;Mycobacterium smegmatis	1763;1772	genbank:GenomeProject:17151;genbank:acc:NC_008197;genbank:gi:109391846
mge:1483	NC19		5577	11	11	338133	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16622;genbank:acc:NC_007850;genbank:gi:89888973
mge:1484	phi-MhaA1-PHL101		34525	50	49	390978	virus	DNA	ds	linear	yes	Mannheimia haemolytica	75985	genbank:GenomeProject:17103;genbank:acc:NC_008201;genbank:gi:109289936
mge:1485	3A		43095	67	67	215167	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15269;genbank:acc:NC_007053;genbank:gi:66395588
mge:1486	PT1028		15603	22	22	320831	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15262;genbank:acc:NC_007045;genbank:gi:66395164
mge:1487	jj50		27453	49	49	213775	virus	DNA	ds	linear	yes	Lactococcus lactis	1358	genbank:GenomeProject:17759;genbank:acc:NC_008371;genbank:gi:115315628
mge:1488	25		161475	242	242	233894	virus	DNA	ds	linear	yes	Aeromonas salmonicida	645	genbank:GenomeProject:17105;genbank:acc:NC_008208;genbank:gi:109289986
mge:1489	NC10		5529	11	11	338137	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16626;genbank:acc:NC_007854;genbank:gi:89889021
mge:1490	W Beta		40867	53	53	359961	virus	DNA	ds	linear	yes	Bacillus anthracis	1392	genbank:GenomeProject:16329;genbank:acc:NC_007734;genbank:gi:85701379
mge:1491	Gamma		37253	53	53	347962	virus	DNA	ds	linear	yes	Bacillus cereus	1396	genbank:GenomeProject:15783;genbank:acc:NC_007458;genbank:gi:77020137
mge:1492	Cherry		36615	51	51	347966	virus	DNA	ds	linear	yes	Bacillus anthracis str. Vollum	261591	genbank:GenomeProject:15784;genbank:acc:NC_007457;genbank:gi:77020191
mge:1493	OP2		46643	62	62	331627	virus	DNA	ds	linear	yes	Xanthomonas oryzae	347	genbank:GenomeProject:16300;genbank:acc:NC_007710;genbank:gi:84662653
mge:1494	96		43576	79	79	320842	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15273;genbank:acc:NC_007057;genbank:gi:66395885
mge:1495	F108		30505	44	44	342564	virus	DNA	ds	linear	yes	Pasteurella multocida	747	genbank:GenomeProject:17113;genbank:acc:NC_008193;genbank:gi:109302896
mge:1496	GIL16c		14844	31	31	307240	virus	DNA	ds	linear	yes	Bacillus thuringiensis	1428	genbank:GenomeProject:15164;genbank:acc:NC_006945;genbank:gi:62327519
mge:1497	phiETA2		43265	69	69	326036	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:18669;genbank:acc:NC_008798;genbank:gi:122891714
mge:1498	WA4		5386	11	11	338124	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16614;genbank:acc:NC_007841;genbank:gi:89888877
mge:1500	phiEL		211215	201	201	273133	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:16199;genbank:acc:NC_007623;genbank:gi:82700933
mge:1501	ES18		46900	79	79	101570	virus	DNA	ds	linear	yes	Salmonella typhimurium	602	genbank:acc:NC_006949;genbank:gi:62362213
mge:1502	KC5a		38239	61	61	363555	virus	DNA	ds	linear	yes	Lactobacillus gasseri	1596	genbank:GenomeProject:16663;genbank:acc:NC_007924;genbank:gi:90592575
mge:1503	Fah		37974	50	50	345922	virus	DNA	ds	linear	yes	Bacillus anthracis;Bacillus cereus	1392;1396	genbank:GenomeProject:16382;genbank:acc:NC_007814;genbank:gi:89152479
mge:1504	T5		121750	195	162	10726	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:acc:NC_005859;genbank:gi:46401737
mge:1505	Cooper		70654	99	99	373406	virus	DNA	ds	linear	yes	Mycobacterium;Mycobacterium smegmatis	1763;1772	genbank:GenomeProject:17145;genbank:acc:NC_008195;genbank:gi:109392353
mge:1506	47		44777	72	72	320839	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15270;genbank:acc:NC_007054;genbank:gi:66395656
mge:1507	VP5		39786	1	48	260827	virus	DNA	ds	linear	yes	Vibrio cholerae	666	genbank:GenomeProject:14382;genbank:acc:NC_005891;genbank:gi:48696682
mge:1508	88		43231	72	72	320848	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15279;genbank:acc:NC_007063;genbank:gi:66396333
mge:1509	ST104		41391	63	63	221029	virus	DNA	ds	linear	yes	Salmonella typhimurium DT104	85569	genbank:acc:NC_005841;genbank:gi:46358648
mge:1510	phiJL-1		36674	46	46	235201	virus	DNA	ds	linear	yes	Lactobacillus plantarum	1590	genbank:GenomeProject:15156;genbank:acc:NC_006936;genbank:gi:62327085
mge:1511	KSF-1phi		7107	12	12	292443	virus	DNA	ss	circular	yes	Vibrio cholerae	666	genbank:GenomeProject:14562;genbank:acc:NC_006294;genbank:gi:52221121
mge:1512	P1		94800	117	110	10678	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:GenomeProject:14493;genbank:acc:NC_005856;genbank:gi:46401626
mge:1514	phiETA3		43282	68	68	326037	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:18671;genbank:acc:NC_008799;genbank:gi:122891784
mge:1515	244		74483	144	142	373403	virus	DNA	ds	linear	yes	Mycobacterium;Mycobacterium smegmatis	1763;1772	genbank:GenomeProject:17115;genbank:acc:NC_008194;genbank:gi:109302753
mge:1516	Berlin		38564	45	45	369257	virus	DNA	ds	linear	yes	Yersinia pestis	632	genbank:GenomeProject:18481;genbank:acc:NC_008694;genbank:gi:119637746
mge:1517	P100		131384	192	174	330395	virus	DNA	ds	linear	yes	Listeria monocytogenes	1639	genbank:GenomeProject:16200;genbank:acc:NC_007610;genbank:gi:82547605
mge:1518	T1		48836	78	78	12355	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:acc:NC_005833;genbank:gi:45686283
mge:1519	ID62		6051	10	10	338107	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16597;genbank:acc:NC_007824;genbank:gi:89888674
mge:1520	BcepB1A		47399	73	73	279530	virus	DNA	ds	linear	yes	Burkholderia cenocepacia	95486	genbank:GenomeProject:14476;genbank:acc:NC_005886;genbank:gi:72257064
mge:1521	NC7		5386	11	11	338117	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16607;genbank:acc:NC_007834;genbank:gi:89888793
